Date,Open,High,Low,Close
2015-08-11,11548.0,11561.0,11278.709961,11293.650391
2015-08-12,11151.719727,11153.639648,10892.879883,10924.610352
2015-08-13,11098.169922,11153.959961,10980.860352,11014.629883
2015-08-14,11010.5,11093.070313,10911.19043,10985.139648
2015-08-17,11044.75,11113.790039,10818.709961,10940.330078
2015-08-18,10916.709961,10976.040039,10883.110352,10915.919922
2015-08-19,10819.849609,10848.839844,10681.360352,10682.150391
2015-08-20,10593.280273,10654.549805,10400.990234,10432.19043
2015-08-21,10228.700195,10437.280273,10124.519531,10124.519531
2015-08-24,9805.719727,9935.530273,9338.200195,9648.429688
2015-08-25,9816.589844,10185.879883,9748.919922,10128.120117
2015-08-26,9956.849609,10159.990234,9853.120117,9997.429688
2015-08-27,10271.330078,10382.950195,10222.040039,10315.620117
2015-08-28,10335.919922,10336.919922,10186.070313,10298.530273
2015-08-31,10200.980469,10273.5,10132.150391,10259.459961
2015-09-01,10073.740234,10119.530273,9928.650391,10015.570313
2015-09-02,10060.30957,10122.269531,9962.25,10048.049805
2015-09-03,10161.360352,10380.360352,10145.730469,10317.839844
2015-09-04,10216.169922,10216.169922,9996.160156,10038.040039
2015-09-07,10148.799805,10184.570313,10055.139648,10108.610352
2015-09-08,10198.599609,10371.900391,10198.450195,10271.360352
2015-09-09,10489.290039,10512.610352,10301.179688,10303.120117
2015-09-10,10216.019531,10326.530273,10157.370117,10210.44043
2015-09-11,10243.400391,10243.400391,10079.030273,10123.55957
2015-09-14,10112.900391,10225.370117,10084.870117,10131.740234
2015-09-15,10154.759766,10244.860352,10070.160156,10188.129883
2015-09-16,10288.389648,10336.200195,10173.959961,10227.209961
2015-09-17,10269.320313,10273.269531,10208.509766,10229.580078
2015-09-18,10177.580078,10180.549805,9861.509766,9916.160156
2015-09-21,9837.129883,10000.620117,9785.110352,9948.509766
2015-09-22,9974.410156,9974.799805,9558.959961,9570.660156
2015-09-23,9578.099609,9712.459961,9492.860352,9612.620117
2015-09-24,9599.910156,9707.69043,9362.280273,9427.639648
2015-09-25,9594.530273,9745.769531,9585.330078,9688.530273
2015-09-28,9633.679688,9677.25,9479.400391,9483.549805
2015-09-29,9346.040039,9536.629883,9325.049805,9450.400391
2015-09-30,9674.610352,9732.540039,9596.950195,9660.44043
2015-10-01,9757.040039,9788.269531,9471.360352,9509.25
2015-10-02,9606.589844,9667.540039,9396.339844,9553.070313
2015-10-05,9691.650391,9854.769531,9647.169922,9814.790039
2015-10-06,9804.419922,9957.919922,9730.410156,9902.830078
2015-10-07,9968.55957,10093.099609,9932.419922,9970.400391
2015-10-08,9942.780273,10027.419922,9911.049805,9993.070313
2015-10-09,10100.780273,10146.879883,10049.389648,10096.599609
2015-10-12,10128.490234,10187.089844,10057.589844,10119.830078
2015-10-13,10106.669922,10107.860352,9939.959961,10032.820313
2015-10-14,9948.490234,10036.230469,9890.459961,9915.849609
